R1   53°55'40.65"    14°16'44.88"
R2   53°55'39.00"    14°16'42.00"
R3   53°55'48.00"    14°13'42.00"
R4   53°59'21.46"    14°14'38.84"
R5   54°14'25.43"    14°10'11.75"
R6   54°16'45.28"    14°04'17.53"
R7   54°26'33.90"    14°04'48.70"
R8   54°26'31.66"    14°06'51.98"
R9   54°19'10.05"    14°06'28.21"
R10  54°18'12.00"    14°09'30.00"
R11  54°15'56.00"    14°10'02.00"
R12  54°15'07.88"    14°12'03.74"
R13  54°07'38.36"    14°14'21.80"
R14  54°07'37.00"    14°16'51.00"
R15  53°57'34.00"    14°19'33.00"
R16  53°55'59.94"    14°16'47.61"
R17  53°55'59.96"    14°16'46.02"
