Dz.U.1989.43.233-A    53°55'39.83"  14°13'33.90"
Dz.U.1989.43.233-B    53°59'15.82"  14°14'31.95"
Dz.U.1989.43.233-C    54°07'34.06"  14°12'05.14"
Dz.U.1989.43.233-D    54°07'31.31"  14°16'44.07"
Dz.U.1989.43.233-E    54°08'32.30"  14°20'41.03"
Dz.U.1989.43.233-F    54°14'19.68"  14°10'04.87"
Dz.U.1989.43.233-G    54°16'39.51"  14°04'10.70"
Dz.U.1989.43.233-H    54°26'28.07"  14°04'41.85"
Dz.U.1989.43.233-I    54°07'32.66"  14°14'14.89"
Dz.U.1989.43.233-J    54°10'02.29"  14°21'1.024"
Dz.U.1989.43.233-K    54°22'54.21"  14°35'51.70"
Dz.U.1989.43.233-L    54°29'54.17"  14°44'52.76"
Dz.U.1989.43.233-M    54°31'55.46"  14°37'38.05"
