Dz.U.1995.20.101-R1   53°55'35.04"  14°16'37.97"
Dz.U.1995.20.101-R2   53°55'33.39"  14°16'35.09"
Dz.U.1995.20.101-R3   53°55'42.38"  14°13'35.12"
Dz.U.1995.20.101-R4   53°59'15.82"  14°14'31.95"
Dz.U.1995.20.101-R5   54°14'19.68"  14°10'04.87"
Dz.U.1995.20.101-R6   54°16'39.51"  14°04'10.70"
Dz.U.1995.20.101-R7   54°26'28.07"  14°04'41.85"
Dz.U.1995.20.101-R8   54°26'25.83"  14°06'45.11"
Dz.U.1995.20.101-R9   54°19'04.27"  14°06'21.36"
Dz.U.1995.20.101-R10  54°18'06.23"  14°09'23.12"
Dz.U.1995.20.101-R11  54°15'50.24"  14°09'55.12"
Dz.U.1995.20.101-R12  54°15'02.13"  14°11'56.84"
Dz.U.1995.20.101-R13  54°07'32.66"  14°14'14.89"
Dz.U.1995.20.101-R14  54°07'31.31"  14°16'44.07"
Dz.U.1995.20.101-R15  53°57'28.38"  14°19'26.06"
Dz.U.1995.20.101-R16  53°55'54.32"  14°16'40.70"
Dz.U.1995.20.101-R17  53°55'54.34"  14°16'39.11"
