Dz.U.2019.567-1      54°32'08.19"     14°38'08.28"
Dz.U.2019.567-2      54°36'51.00"     14°41'25.00"
Dz.U.2019.567-3      54°35'34.00"     14°47'58.00"
Dz.U.2019.567-4      54°34'40.00"     14°54'05.00"
Dz.U.2019.567-5      54°34'00.00"     15°00'58.00"
Dz.U.2019.567-6      54°34'00.00"     15°07'02.00"
Dz.U.2019.567-7      54°34'28.00"     15°13'37.00"
Dz.U.2019.567-8      54°35'20.00"     15°18'52.00"
Dz.U.2019.567-9      54°37'20.00"     15°29'01.00"
Dz.U.2019.567-10     54°39'06.00"     15°34'23.00"
Dz.U.2019.567-11     54°41'54.00"     15°42'27.00"
Dz.U.2019.567-12     54°44'33.00"     15°46'03.00"
Dz.U.2019.567-13     54°47'09.00"     15°49'11.00"
Dz.U.2019.567-14     54°51'57.00"     15°54'41.00"
Dz.U.2019.567-15     54°54'11.00"     15°55'49.00"
Dz.U.2019.567-16     54°56'52.00"     15°57'27.00"
Dz.U.2019.567-17     54°59'51.00"     15°58'42.00"
Dz.U.2019.567-18     55°03'11.00"     15°59'27.00"
Dz.U.2019.567-19     55°07'15.00"     15°59'34.00"
Dz.U.2019.567-20     55°10'01.00"     15°59'50.00"
Dz.U.2019.567-21     55°12'28.00"     16°00'50.00"
Dz.U.2019.567-22     55°15'06.10"     16°01'30.00"
Dz.U.2019.567-23     55°21'13.64"     16°30'38.17"
